codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column.type,geocoded_column.coordinates,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,data_fi,
VV,Sant Llorenç Savall,A,41.68129,2.02647,Point,c(2.02647, 41.68129),Masia Can Brossa,528,82233,Sant Llorenç Savall,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,1998-03-25T00:00:00,628,26,NA
VF,Alcarràs - Torrent d'Alcarràs,A,41.56482,0.54999,Point,c(0.54999, 41.56482),Partida Graminella,122,250117,Alcarràs,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,1997-09-17T00:00:00,759,21,2013-07-31T00:00:00
UR,Malgrat de Mar - Cooperativa,A,41.64908,2.75209,Point,c(2.75209, 41.64908),"Cooperativa Garbí, camí del Pla, s/n. Apt. correus 80",2,81108,Malgrat de Mar,21,Maresme,8,Barcelona,1,XEMA,1,Desmantellada,1990-01-09T00:00:00,800,25,2005-05-04T00:00:00
W2,Torroella de Fluvià,A,42.18259,3.05783,Point,c(3.05783, 42.18259),Camp de Pla d'Avall - Camp de la Creu,7,171984,Torroella de Fluvià,2,Alt Empordà,17,Girona,1,XEMA,1,Desmantellada,2000-03-14T00:00:00,281,6,2014-04-08T00:00:00
WW,Artés,A,41.79423,1.9368,Point,c(1.9368, 41.79423),Artés,278,80109,Artés,7,Bages,8,Barcelona,1,XEMA,2,Operativa,2006-02-16T00:00:00,766,18,NA
CM,Montmeló,A,41.54911,2.24546,Point,c(2.24546, 41.54911),Torreta de Can Campanyà,75.2,81350,Montmeló,41,Vallès Oriental,8,Barcelona,1,XEMA,1,Desmantellada,1996-01-23T00:00:00,736,22,2006-03-22T00:00:00
CP,Sant Romà d'Abella,A,42.13924,1.03893,Point,c(1.03893, 42.13924),Sant Romà d'Abella - el Tossal,690,251155,Isona i Conca Dellà,25,Pallars Jussà,25,Lleida,1,XEMA,2,Operativa,1996-05-20T00:00:00,110,9,NA
W9,la Vall d'en Bas,A,42.14557,2.45451,Point,c(2.45451, 42.14557),Escola Verntallat,461,172076,La Vall d'en Bas,19,Garrotxa,17,Girona,1,XEMA,2,Operativa,2000-03-16T00:00:00,307,10,NA
WE,Vilanova del Vallès,A,41.5444,2.30014,Point,c(2.30014, 41.5444),Mas Casa Alta,126,89024,Vilanova del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,2000-07-05T00:00:00,702,22,NA
YU,Cantonigròs,A,42.04265,2.40472,Point,c(2.40472, 42.04265),Àrea d'autocaravanes,925,82541,l'Esquirol,24,Osona,8,Barcelona,1,XEMA,2,Operativa,2025-02-18T00:00:00,87,13,NA
